4D,0,Air Sinai,https://images.kiwi.com/airlines/64/4D.png
FK,0,Africa West,https://images.kiwi.com/airlines/64/FK.png
2U,0,Air Guinee Express,https://images.kiwi.com/airlines/64/2U.png
A7,0,Calafia Airlines,https://images.kiwi.com/airlines/64/A7.png
GG,0,Air Guyane,https://images.kiwi.com/airlines/64/GG.png
FL,0,AirTran Airways,https://images.kiwi.com/airlines/64/FL.png
TE,0,FlyLal,https://images.kiwi.com/airlines/64/TE.png
SE,1,XL Airways France,https://images.kiwi.com/airlines/64/SE.png
WF,0,Widerøe,https://images.kiwi.com/airlines/64/WF.png
S1,0,Serbian Airlines,https://images.kiwi.com/airlines/64/S1.png
II,0,LSM International ,https://images.kiwi.com/airlines/64/II.png
HN,0,Hankook Airline,https://images.kiwi.com/airlines/64/HN.png
NP,0,Nile Air,https://images.kiwi.com/airlines/64/NP.png
M1,0,Maryland Air,https://images.kiwi.com/airlines/64/M1.png
M2,0,MHS Aviation GmbH,https://images.kiwi.com/airlines/64/M2.png
VRG,1,Voyage Air,https://images.kiwi.com/airlines/64/VRG.png
WI,0,White Airways,https://images.kiwi.com/airlines/64/WI.png
NY,1,Air Iceland Connect,https://images.kiwi.com/airlines/64/NY.png
4Z,0,Airlink (SAA),https://images.kiwi.com/airlines/64/4Z.png
PT,0,Red Jet Andes,https://images.kiwi.com/airlines/64/PT.png
ZE,1,Eastar Jet,https://images.kiwi.com/airlines/64/ZE.png
MI,0,SilkAir,https://images.kiwi.com/airlines/64/MI.png
QR,0,Qatar Airways,https://images.kiwi.com/airlines/64/QR.png
7F,0,First Air,https://images.kiwi.com/airlines/64/7F.png
HG,0,Niki,https://images.kiwi.com/airlines/64/HG.png
RJ,0,Royal Jordanian,https://images.kiwi.com/airlines/64/RJ.png
NN,1,VIM Airlines,https://images.kiwi.com/airlines/64/NN.png
XQ,1,SunExpress,https://images.kiwi.com/airlines/64/XQ.png
9U,0,Air Moldova,https://images.kiwi.com/airlines/64/9U.png
PM,0,Canary Fly,https://images.kiwi.com/airlines/64/PM.png
GK,0,Jetstar Japan,https://images.kiwi.com/airlines/64/GK.png
IN,0,Nam Air,https://images.kiwi.com/airlines/64/IN.png
OO,0,SkyWest,https://images.kiwi.com/airlines/64/OO.png
DJ,1,AirAsia Japan,https://images.kiwi.com/airlines/64/DJ.png
OA,0,Olympic Air,https://images.kiwi.com/airlines/64/OA.png
ZM,0,Air Manas,https://images.kiwi.com/airlines/64/ZM.png
H1,0,Hahn Air,https://images.kiwi.com/airlines/64/H1.png
LS,1,Jet2,https://images.kiwi.com/airlines/64/LS.png
PP,0,Air Indus,https://images.kiwi.com/airlines/64/PP.png
I8,0,Izhavia,https://images.kiwi.com/airlines/64/I8.png
W8,0,Cargojet Airways,https://images.kiwi.com/airlines/64/W8.png
ZT,0,Titan Airways,https://images.kiwi.com/airlines/64/ZT.png
4T,0,Belair,https://images.kiwi.com/airlines/64/4T.png
QH,0,Bamboo Airways,https://images.kiwi.com/airlines/64/QH.png
I0,None,LEVEL operated by Iberia,https://images.kiwi.com/airlines/64/I0.png
KO,0,Komiaviatrans,https://images.kiwi.com/airlines/64/KO.png
PJ,0,Air Saint Pierre,https://images.kiwi.com/airlines/64/PJ.png
2I,1,Star Peru,https://images.kiwi.com/airlines/64/2I.png
IQ,0,Qazaq Air,https://images.kiwi.com/airlines/64/IQ.png
VL,0,Med-View Airline,https://images.kiwi.com/airlines/64/VL.png
KJ,0,British Mediterranean Airways,https://images.kiwi.com/airlines/64/KJ.png
BN,0,Horizon Airlines,https://images.kiwi.com/airlines/64/BN.png
LG,0,Luxair,https://images.kiwi.com/airlines/64/LG.png
O7,0,Orenburzhye Airline,https://images.kiwi.com/airlines/64/O7.png
QT,0,TAMPA,https://images.kiwi.com/airlines/64/QT.png
N7,0,Nordic Regional Airlines,https://images.kiwi.com/airlines/64/N7.png
3J,0,Jubba Airways,https://images.kiwi.com/airlines/64/3J.png
U1,0,Aviabus,https://images.kiwi.com/airlines/64/U1.png
0X,0,Copenhagen Express,https://images.kiwi.com/airlines/64/0X.png
3E,0,Air Choice One,https://images.kiwi.com/airlines/64/3E.png
MK,0,Air Mauritius,https://images.kiwi.com/airlines/64/MK.png
AP,0,AlbaStar,https://images.kiwi.com/airlines/64/AP.png
MU,0,China Eastern Airlines,https://images.kiwi.com/airlines/64/MU.png
7E,0,Sylt Air,https://images.kiwi.com/airlines/64/7E.png
CT,0,Alitalia Cityliner,https://images.kiwi.com/airlines/64/CT.png
OF,0,Overland Airways,https://images.kiwi.com/airlines/64/OF.png
WZ,1,Red Wings,https://images.kiwi.com/airlines/64/WZ.png
LI,0,Leeward Islands Air Transport,https://images.kiwi.com/airlines/64/LI.png
ZH,0,Shenzhen Airlines,https://images.kiwi.com/airlines/64/ZH.png
8Q,1,Onur Air,https://images.kiwi.com/airlines/64/8Q.png
NE,0,Nesma Air,https://images.kiwi.com/airlines/64/NE.png
UI,0,Auric Air,https://images.kiwi.com/airlines/64/UI.png
PK,0,Pakistan International Airlines,https://images.kiwi.com/airlines/64/PK.png
EI,1,Aer Lingus,https://images.kiwi.com/airlines/64/EI.png
LP,0,LATAM Peru,https://images.kiwi.com/airlines/64/LP.png
U8,0,TUS Airways,https://images.kiwi.com/airlines/64/U8.png
TC,0,Air Tanzania,https://images.kiwi.com/airlines/64/TC.png
E5,0,Air Arabia Egypt,https://images.kiwi.com/airlines/64/E5.png
WO,0,Swoop,https://images.kiwi.com/airlines/64/WO.png
RC,0,Atlantic Airways,https://images.kiwi.com/airlines/64/RC.png
A5,1,HOP!,https://images.kiwi.com/airlines/64/A5.png
B9,0,Air Bangladesh,https://images.kiwi.com/airlines/64/B9.png
5Y,0,Atlas Air,https://images.kiwi.com/airlines/64/5Y.png
6G,0,Air Wales,https://images.kiwi.com/airlines/64/6G.png
6K,0,Asian Spirit,https://images.kiwi.com/airlines/64/6K.png
R7,0,Aserca Airlines,https://images.kiwi.com/airlines/64/R7.png
VU,0,Air Ivoire,https://images.kiwi.com/airlines/64/VU.png
UM,0,Air Zimbabwe,https://images.kiwi.com/airlines/64/UM.png
NM,0,Air Madrid,https://images.kiwi.com/airlines/64/NM.png
FJ,0,Fiji Airways,https://images.kiwi.com/airlines/64/FJ.png
JS,0,Air Koryo,https://images.kiwi.com/airlines/64/JS.png
MD,0,Air Madagascar,https://images.kiwi.com/airlines/64/MD.png
8D,0,Astair,https://images.kiwi.com/airlines/64/8D.png
OT,0,Aeropelican Air Services,https://images.kiwi.com/airlines/64/OT.png
RE,0,Stobart Air,https://images.kiwi.com/airlines/64/RE.png
5L,0,Aerosur,https://images.kiwi.com/airlines/64/5L.png
Z3,0,Avient Aviation,https://images.kiwi.com/airlines/64/Z3.png
EC,0,Avialeasing Aviation Company,https://images.kiwi.com/airlines/64/EC.png
ZL,1,Regional Express,https://images.kiwi.com/airlines/64/ZL.png
J8,0,Berjaya Air,https://images.kiwi.com/airlines/64/J8.png
IO,1,IrAero,https://images.kiwi.com/airlines/64/IO.png
AS,0,Alaska Airlines,https://images.kiwi.com/airlines/64/AS.png
7G,1,Star Flyer,https://images.kiwi.com/airlines/64/7G.png
2L,0,Helvetic Airways,https://images.kiwi.com/airlines/64/2L.png
FB,0,Bulgaria Air,https://images.kiwi.com/airlines/64/FB.png
OI,0,Orchid Airlines,https://images.kiwi.com/airlines/64/OI.png
EO,0,Pegas Fly,https://images.kiwi.com/airlines/64/EO.png
LV,0,Level,https://images.kiwi.com/airlines/64/LV.png
QI,0,Cimber Air,https://images.kiwi.com/airlines/64/QI.png
AC,0,Air Canada,https://images.kiwi.com/airlines/64/AC.png
LU,0,LAN Express,https://images.kiwi.com/airlines/64/LU.png
SY,1,Sun Country Airlines,https://images.kiwi.com/airlines/64/SY.png
WX,0,CityJet,https://images.kiwi.com/airlines/64/WX.png
BD,0,Cambodia Bayon Airlines,https://images.kiwi.com/airlines/64/BD.png
MS,0,Egyptair,https://images.kiwi.com/airlines/64/MS.png
I5,0,AirAsia India,https://images.kiwi.com/airlines/64/I5.png
PD,1,Porter Airlines,https://images.kiwi.com/airlines/64/PD.png
8N,0,Regional Air Services,https://images.kiwi.com/airlines/64/8N.png
PS,0,Ukraine International Airlines,https://images.kiwi.com/airlines/64/PS.png
FV,0,Rossiya-Russian Airlines,https://images.kiwi.com/airlines/64/FV.png
KR,0,Cambodia Airways,https://images.kiwi.com/airlines/64/KR.png
W9,0,Wizz Air UK,https://images.kiwi.com/airlines/64/W9.png
2K,0,Avianca Ecuador,https://images.kiwi.com/airlines/64/2K.png
3O,0,Air Arabia Maroc,https://images.kiwi.com/airlines/64/3O.png
LR,0,Avianca Costa Rica,https://images.kiwi.com/airlines/64/LR.png
JJ,0,LATAM Brasil,https://images.kiwi.com/airlines/64/JJ.png
NF,0,Air Vanuatu,https://images.kiwi.com/airlines/64/NF.png
GS,0,Tianjin Airlines,https://images.kiwi.com/airlines/64/GS.png
EN,0,Air Dolomiti,https://images.kiwi.com/airlines/64/EN.png
AJ,0,Aero Contractors,https://images.kiwi.com/airlines/64/AJ.png
BS,0,British International Helicopters,https://images.kiwi.com/airlines/64/BS.png
CH,0,Bemidji Airlines,https://images.kiwi.com/airlines/64/CH.png
8E,0,Bering Air,https://images.kiwi.com/airlines/64/8E.png
4R,0,Renfe,https://images.kiwi.com/airlines/64/4R.png
FE,None,Far Eastern Air Transport,https://images.kiwi.com/airlines/64/FE.png
DQ,0,Coastal Air,https://images.kiwi.com/airlines/64/DQ.png
6A,0,Consorcio Aviaxsa,https://images.kiwi.com/airlines/64/6A.png
SS,0,Corsair International,https://images.kiwi.com/airlines/64/SS.png
YK,0,Avia Traffic Airline,https://images.kiwi.com/airlines/64/YK.png
DO,0,Dominicana de Aviaci,https://images.kiwi.com/airlines/64/DO.png
E3,0,Domodedovo Airlines,https://images.kiwi.com/airlines/64/E3.png
H7,0,Eagle Air,https://images.kiwi.com/airlines/64/H7.png
T3,0,Eastern Airways,https://images.kiwi.com/airlines/64/T3.png
UZ,0,El-Buraq Air Transport,https://images.kiwi.com/airlines/64/UZ.png
B8,0,Eritrean Airlines,https://images.kiwi.com/airlines/64/B8.png
EA,0,European Air Express,https://images.kiwi.com/airlines/64/EA.png
GF,0,Gulf Air Bahrain,https://images.kiwi.com/airlines/64/GF.png
TY,0,Air Caledonie,https://images.kiwi.com/airlines/64/TY.png
L8,0,Line Blue,https://images.kiwi.com/airlines/64/L8.png
5U,0,Transportes Aéreos Guatemaltecos,https://images.kiwi.com/airlines/64/5U.png
P7,0,Small Planet Airline,https://images.kiwi.com/airlines/64/P7.png
8I,0,MyAir,https://images.kiwi.com/airlines/64/8I.png
XK,0,Air Corsica,https://images.kiwi.com/airlines/64/XK.png
FW,0,Ibex Airlines,https://images.kiwi.com/airlines/64/FW.png
I7,0,Int'Air Iles,https://images.kiwi.com/airlines/64/I7.png
LO,0,LOT Polish Airlines,https://images.kiwi.com/airlines/64/LO.png
B2,0,Belavia Belarusian Airlines,https://images.kiwi.com/airlines/64/B2.png
2T,0,TruJet,https://images.kiwi.com/airlines/64/2T.png
TS,0,Air Transat,https://images.kiwi.com/airlines/64/TS.png
OU,0,Croatia Airlines,https://images.kiwi.com/airlines/64/OU.png
VX,1,Virgin America,https://images.kiwi.com/airlines/64/VX.png
D2,1,Severstal Air Company,https://images.kiwi.com/airlines/64/D2.png
KF,0,Air Belgium,https://images.kiwi.com/airlines/64/KF.png
JN,0,JOON,https://images.kiwi.com/airlines/64/JN.png
EH,0,ANA Wings,https://images.kiwi.com/airlines/64/EH.png
XT,0,Indonesia AirAsia X,https://images.kiwi.com/airlines/64/XT.png
TA,0,Avianca El Salvador,https://images.kiwi.com/airlines/64/TA.png
UD,0,Hex'Air,https://images.kiwi.com/airlines/64/UD.png
RZ,0,Sansa Air,https://images.kiwi.com/airlines/64/RZ.png
4G,0,Gazpromavia,https://images.kiwi.com/airlines/64/4G.png
G0,0,Ghana International Airlines,https://images.kiwi.com/airlines/64/G0.png
IC,0,Indian Airlines,https://images.kiwi.com/airlines/64/IC.png
D6,0,Interair South Africa,https://images.kiwi.com/airlines/64/D6.png
