name,city,country,IATA,ICAO,lat,lon,timezone
Gjoa Haven ,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.84970092770001,-7
John C. Munro Hamilton Intl ,Hamilton,Canada,YHM,CYHM,43.173599243199995,-79.93499755859999,-5
Montréal / Saint-Hubert ,Montreal,Canada,YHU,CYHU,45.5175018311,-73.4169006348,-5
Hay River / Merlyn Carter ,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,-7
Halifax / Stanfield Intl ,Halifax,Canada,YHZ,CYHZ,44.8807983398,-63.5085983276,-4
Atikokan Municipal ,Atikokan,Canada,YIB,CYIB,48.7738990784,-91.6386032104,-5
Pond Inlet ,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929,-5
St Jean ,St. Jean,Canada,YJN,CYJN,45.29439926147461,-73.28109741210938,-5
Stephenville ,Stephenville,Canada,YJT,CYJT,48.5442008972168,-58.54999923706055,-3.5
Kamloops ,Kamloops,Canada,YKA,CYKA,50.7022018433,-120.444000244,-8
Waterloo ,Waterloo,Canada,YKF,CYKF,43.460800170899994,-80.3786010742,-5
Schefferville ,Schefferville,Canada,YKL,CYKL,54.805301666259766,-66.8052978515625,-5
Kindersley ,Kindersley,Canada,YKY,CYKY,51.5175018311,-109.180999756,-6
Buttonville Municipal ,Toronto,Canada,YKZ,CYKZ,43.86220169067383,-79.37000274658203,-5
Chapleau ,Chapleau,Canada,YLD,CYLD,47.81999969482422,-83.3467025756836,-5
Meadow Lake ,Meadow Lake,Canada,YLJ,CYLJ,54.125301361083984,-108.52300262451172,-6
Lloydminster ,Lloydminster,Canada,YLL,CYLL,53.309200286865234,-110.072998046875,-7
Alert ,Alert,Canada,YLT,CYLT,82.51779937740001,-62.2806015015,-5
Kelowna Intl ,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352,-8
Mayo ,Mayo,Canada,YMA,CYMA,63.61640167236328,-135.8679962158203,-8
Moose Jaw Air Vice Marshal C. M. McEwen ,Moose Jaw,Canada,YMJ,CYMJ,50.330299377441406,-105.55899810791016,-6
Fort McMurray ,Fort Mcmurray,Canada,YMM,CYMM,56.653301239,-111.222000122,-7
Moosonee ,Moosonee,Canada,YMO,CYMO,51.291099548339844,-80.60780334472656,-5
Maniwaki ,Maniwaki,Canada,YMW,CYMW,46.2728004456,-75.9906005859,-5
Montreal Intl (Mirabel) ,Montreal,Canada,YMX,CYMX,45.679501,-74.038696,-5
Natashquan ,Natashquan,Canada,YNA,CYNA,50.189998626708984,-61.78919982910156,-5
Ottawa / Gatineau ,Gatineau,Canada,YND,CYND,45.521701812699995,-75.5635986328,-5
Matagami ,Matagami,Canada,YNM,CYNM,49.76169967651367,-77.80280303955078,-5
Old Crow ,Old Crow,Canada,YOC,CYOC,67.57060241699219,-139.83900451660156,-8
CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.404998779296875,-110.27899932861328,-7
High Level ,High Level,Canada,YOJ,CYOJ,58.62139892578125,-117.16500091552734,-7
Ottawa Macdonald-Cartier Intl ,Ottawa,Canada,YOW,CYOW,45.3224983215332,-75.66919708251953,-5
Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.214199066199996,-105.672996521,-6
Peace River ,Peace River,Canada,YPE,CYPE,56.226898,-117.446999,-7
Southport ,Portage-la-prairie,Canada,YPG,CYPG,49.903099,-98.273817,-6
Pitt Meadows ,Pitt Meadows,Canada,\N,CYPK,49.21609878540039,-122.70999908447266,-8
Pickle Lake ,Pickle Lake,Canada,YPL,CYPL,51.4463996887207,-90.21420288085938,-5
Port Menier ,Port Menier,Canada,YPN,CYPN,49.83639907836914,-64.2885971069336,-5
Peterborough ,Peterborough,Canada,YPQ,CYPQ,44.22999954223633,-78.36329650878906,-5
Prince Rupert ,Prince Pupert,Canada,YPR,CYPR,54.286098480199996,-130.445007324,-8
Fort Chipewyan ,Fort Chipewyan,Canada,YPY,CYPY,58.7672004699707,-111.11699676513672,-7
Muskoka ,Muskoka,Canada,YQA,CYQA,44.974700927734375,-79.30329895019531,-5
Quebec Jean Lesage Intl ,Quebec,Canada,YQB,CYQB,46.7911,-71.393303,-5
Red Deer Regional ,Red Deer Industrial,Canada,YQF,CYQF,52.18220138549805,-113.89399719238281,-7
Windsor ,Windsor,Canada,YQG,CYQG,42.27560043334961,-82.95559692382812,-5
Watson Lake ,Watson Lake,Canada,YQH,CYQH,60.11640167236328,-128.82200622558594,-8
Kenora ,Kenora,Canada,YQK,CYQK,49.788299560546875,-94.36309814453125,-6
